Continent	meanDamage	maxDamage	meanAffPop	maxAffPop	meanInjured	maxInjured	meanDeath	maxDeath	meanHomeless	maxHomeless
Africa	118075.921568627	779000	824686.980392157	7015029	128.274509803922	1200	202.882352941176	921	17464.6470588235	258450
Europe	1316446.89655172	17137601	87556.091954023	2600000	182.563218390805	5850	1327.58620689655	55844	1364.31034482759	30000
Americas	4122131.92715232	159060330	537394.026490066	13390150	4102.79470198676	577520	1681.86754966887	229549	14864.7880794702	800000
Asia	3576365.7715736	212520000	12551988.8984772	342023353	8179.05076142132	368719	3562.63959390863	166691	137749.974619289	5003500
